"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
281,650402,"Torres, Gleyber",281,100,0.241,0.155,0.24,0.397,0.329,0.387,0.299,14,58,91.2,12,2384,90,90.1,19,114,167,0.09999999999999432,6.45,109,150,123,146,306,320,286,"-0.223","0.223","68.7","7.2",69,52,9,3,0,2,7,10.1,10,14.5,2.19075,0.68564,0.20789,0.08589,"92.5",153,48.07692307692308,9.615384615384617,7.246376811594203,5.88,-0.78,0.16,2.36,0.348,5,"0.079359431",0.398,0.488,"-0.079359431",-0.058,-0.050000000000000044,-0.091,-0.058,16.7,"42.1",6.855497099518064,6.796073528775675,33.27954886043851,0.48623853211009177,36.28732543095985,29.43241996329256
273,592450,"Judge, Aaron",273,100,0.184,0.224,0.214,0.408,0.326,0.351,0.216,9,49,97.1,24.3,2404,88.9,88.84,54,133,140,-0.10000000000000853,6.36,107,152,128,147,307,331,298,"-3.062","3.062","74.4","8.0",63,31,4,2,0,3,20,31.7,10,15.9,2.5933,0.35473,0.10229,0.07262,"94.5",187,61.29032258064516,16.129032258064516,7.936507936507936,5.83,-1.26,0.18,2.26,0.333,5,"1.121611722",0.36,0.439,"-1.121611722",-0.032,-0.02699999999999997,-0.031,-0.025,40.6,"40.3",14.383146909851721,-4.622246557259385,39.16747663628619,0.38345864661654133,41.30398755974864,29.99516836677024
269,683011,"Volpe, Anthony",269,100,0.286,0.122,0.371,0.408,0.359,0.406,0.33,14,49,95.8,12.6,2361,89.7,89.77,20,90,179,0.09999999999999432,6.45,111,152,114,148,306,319,285,"-1.532","1.532","69.7","7.1",58,36,10,3,0,1,13,22.4,9,15.5,2.21212,0.67472,0.26647,0.06201,"93.5",194,52.77777777777778,5.555555555555555,3.4482758620689653,5.73,-1.15,0.1,2.28,0.397,2,"0.569516729",0.434,0.498,"-0.569516729",-0.044,-0.03699999999999998,-0.09,-0.047,22.2,"39.4",7.932357234151184,4.787090576736648,30.568199729078046,0.6136363636363636,39.35156880184324,26.349134741410502
269,665742,"Soto, Juan",269,100,0.327,0.306,0.324,0.633,0.454,0.514,0.355,16,49,97.9,9.1,2296,89.3,89.3,20,100,169,0,6.38,114,147,129,153,296,329,301,"-9.036","9.036","74.0","7.1",62,41,9,3,0,4,9,14.5,12,19.4,2.48271,0.43224,0.26496,-0.05165,"95.4",147,68.29268292682927,21.951219512195124,14.516129032258066,5.84,-0.86,-0.14,2.28,0.452,9,"3.359107807",0.478,0.752,"-3.359107807",-0.028,-0.025999999999999968,-0.119,-0.06,20,"39.4",11.224639171699582,2.554061119107655,27.768752994184563,0.6428571428571429,38.01693053631381,25.204506576009518
241,665862,"Chisholm Jr., Jazz",241,100,0.182,0.127,0.205,0.309,0.25,0.302,0.229,10,55,87.3,10,2321,89.8,89.84,30,110,131,0,6.4,114,148,110,152,289,322,296,"4.234","-4.234","69.2","7.3",61,42,7,1,0,2,14,23,4,6.6,2.25523,0.62375,0.21542,-0.13742,"92.4",140,42.857142857142854,9.523809523809524,6.557377049180328,5.83,-0.85,-0.22,2.37,0.25,4,"-1.756846473",0.294,0.392,"1.756846473",-0.047,-0.043999999999999984,-0.083,-0.052,27.3,"40.9",11.017514384012884,-5.143327446768604,33.14946922390847,0.5631067961165048,33.833300679036924,28.24950199237179
238,519317,"Stanton, Giancarlo",238,100,0.273,0.436,0.211,0.709,0.426,0.462,0.293,15,55,96.3,20.6,2349,90.5,90.66,34,113,125,0.20000000000000284,6.46,107,151,129,147,309,330,299,"-8.066","8.066","80.1","8.6",61,45,5,3,0,7,11,18,5,8.2,2.19118,0.6405,0.24307,0.09122,"95.9",172,64.44444444444444,24.444444444444443,18.0327868852459,5.82,-1.18,0.01,2.43,0.328,11,"3.38907563",0.355,0.734,"-3.38907563",-0.02,-0.02699999999999997,-0.025,-0.036,30.1,"41.0",7.305325986830361,-0.17117384226009907,26.122134423591696,0.5221238938053098,39.317188371118306,25.413381605952022
221,657077,"Verdugo, Alex",221,100,0.208,0.104,0.231,0.313,0.275,0.31,0.25,10,48,83.8,3.9,2343,89.8,89.85,12,83,138,0,6.47,113,144,116,149,286,320,298,"-1.344","1.344","66.2","6.3",55,41,7,2,0,1,8,14.5,6,10.9,2.20217,0.69314,0.32421,-0.04448,"91.7",150,34.146341463414636,2.4390243902439024,1.8181818181818181,5.8,-0.62,-0.2,2.33,0.296,1,"0.608144796",0.333,0.355,"-0.608144796",-0.042,-0.03700000000000003,-0.042,-0.035,14.5,"42.6",4.458829722069085,0.48100396195111106,29.89264469320129,0.38961038961038963,33.1783402892568,34.906884605256685
215,669224,"Wells, Austin",215,100,0.12,0.14,0.154,0.26,0.209,0.268,0.174,6,50,91.9,10.1,2360,91.1,91.06,33,108,107,0,6.4,113,145,119,150,289,321,298,"3.971","-3.971","71.4","7.2",55,28,3,1,0,2,22,40,4,7.3,2.07567,0.72851,0.40172,-0.26916,"91.8",154,42.857142857142854,14.285714285714285,7.2727272727272725,5.8,-1.12,-0.16,2.45,0.2,4,"-1.846976744",0.249,0.36,"1.846976744",-0.054,-0.04899999999999999,-0.1,-0.059,30.6,"39.4",8.80806029070022,-2.309870808146995,30.24955622447544,0.49056603773584906,34.45472216702633,28.55826900498715
150,519203,"Rizzo, Anthony",150,100,0.267,0.033,0.4,0.3,0.323,0.296,0.218,8,30,88.2,19.6,2342,91.3,91.33,17,61,89,0,6.43,122,147,129,153,282,316,294,"-0.232","0.232","67.4","6.7",36,20,7,1,0,0,10,27.8,4,11.1,1.98327,0.80342,0.24333,-0.23933,"90.7",171,25,0,0,5.75,-1.22,-0.29,2.32,0.389,0,"0.154666667",0.348,0.279,"-0.154666667",0.049,0.041000000000000036,0.021,0.027,27.9,"40.2",8.7859639042621,-2.0442822403939758,33.95316430023951,0.43333333333333335,33.122602316144196,32.4189926049918
48,542932,"Berti, Jon",48,100,0.182,0,0.25,0.182,0.204,0.333,0.286,2,11,85.5,16.4,2196,87.9,87.84,6,21,27,-0.10000000000000853,6.3,107,151,115,149,302,322,288,"1.44","-1.44","69.8","7.5",12,8,2,0,0,0,3,25,1,8.3,2.36271,0.66708,0.48813,-0.21896,"90.9",198,25,0,0,6.06,0.74,-0.18,2.27,0.25,0,"-3",0.345,0.41,"3",-0.104,-0.09499999999999997,-0.228,-0.129,28.6,"43.4",5.90375356370504,5.890833138062646,28.676860187317892,0.23809523809523808,36.3126697848897,26.950541036087117
40,665828,"Cabrera, Oswaldo",40,100,0.167,0.167,0.333,0.333,0.369,0.309,0.125,1,6,87.9,12.7,2321,90.3,90.32,6,18,22,0,6.38,113,148,113,152,288,320,299,"-0.596","0.596","66.4","6.7",9,3,0,1,0,0,3,33.3,3,33.3,2.20975,0.626,0.48275,-0.41625,"88.3",193,0,0,0,5.37,-1.21,-0.18,2.62,0.444,0,"1.49",0.417,0.162,"-1.49",0.042,0.027000000000000024,0.171,0.06,33.3,"31.6",3.5524405086853177,5.980830468465668,29.306239647184444,0.3888888888888889,38.03911109684572,23.957333138671974
