"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2960,665742,"Soto, Juan",2960,100,0.289,0.282,0.298,0.57,0.421,0.463,0.317,166,575,93.5,10.1,2242,88.9,89.13,237,1101,1859,0.19999999999998863,6.46,116,146,122,151,296,329,300,"-72.482","72.482","72.9","7.2",710,461,90,31,4,41,118,16.6,127,17.9,2.40744,0.51921,0.3688,-0.2046,"94.3",159,56.83297180043384,19.739696312364423,12.816901408450704,5.76,-0.65,-0.16,2.15,0.418,91,"2.448716216",0.444,0.647,"-2.448716216",-0.028,-0.026000000000000023,-0.077,-0.042,21.5,"37.8",11.474623059589483,3.962531881591909,27.101747502285004,0.5907752698724239,39.33116970807556,25.04992245740913
2885,592450,"Judge, Aaron",2885,100,0.322,0.379,0.367,0.701,0.476,0.479,0.31,180,559,96.2,19,2278,89.4,89.61,372,1213,1672,0.19999999999998863,6.51,106,151,124,145,307,332,294,"-97.118","97.118","75.7","8.1",684,390,85,36,1,58,171,25,113,16.5,2.33468,0.56683,0.27492,-0.01048,"94.4",189,61.02564102564103,26.923076923076923,15.350877192982457,5.77,-0.86,0.22,2.34,0.442,105,"3.366308492",0.433,0.723,"-3.366308492",0.012,0.009000000000000008,-0.022,-0.003,30.7,"38.5",13.800691932971912,-3.7493673660214744,39.734243098333806,0.49458483754512633,42.60738145917629,29.375944370688362
2821,650402,"Torres, Gleyber",2821,100,0.257,0.121,0.306,0.378,0.313,0.307,0.24,151,587,88.2,14.8,2273,88.8,89.12,296,1290,1531,0.29999999999999716,6.52,109,151,121,147,303,323,287,"0.192","-0.192","68.4","7.2",665,461,110,26,0,15,136,20.5,65,9.8,2.35294,0.59136,0.26658,-0.01683,"91.1",175,35.35791757049891,6.29067245119306,4.360902255639098,5.75,-0.85,0.25,2.29,0.33,29,"-0.006806097",0.317,0.368,"0.006806097",0.017,0.013000000000000012,0.01,0.006,22.9,"38.6",7.607850111174168,6.3064246206017645,34.538327476814565,0.506265664160401,36.377728042992786,29.96419752982354
2797,683011,"Volpe, Anthony",2797,100,0.243,0.121,0.303,0.364,0.287,0.274,0.234,155,637,87,8.1,2276,88.9,89.18,304,1345,1452,0.29999999999999716,6.49,106,151,111,146,301,322,286,"15.703","-15.703","66.8","7.0",688,486,109,27,7,12,156,22.7,41,6,2.35759,0.58196,0.26768,0.04452,"90.9",154,35.390946502057616,3.909465020576132,2.761627906976744,5.75,-0.81,0.09,2.31,0.292,19,"-0.561422953",0.286,0.328,"0.561422953",0.009,0.006000000000000005,0.036,0.013,22.6,"38.5",9.032849109417814,7.957454553098282,33.038601375363505,0.5828707375099128,37.137254976650496,26.07317252415369
2342,657077,"Verdugo, Alex",2342,100,0.233,0.124,0.253,0.357,0.284,0.302,0.25,130,558,87.7,9.7,2222,89.4,89.66,162,1046,1296,0.29999999999999716,6.49,115,146,116,151,288,323,298,"17.511","-17.511","66.4","6.2",620,478,88,28,1,13,92,14.8,49,7.9,2.26936,0.63971,0.41563,-0.17435,"91.2",147,34.93723849372385,5.648535564853557,4.354838709677419,5.76,-0.64,-0.19,2.39,0.291,27,"-0.747694278",0.31,0.374,"0.747694278",-0.017,-0.019000000000000017,-0.017,-0.018,15.5,"38.4",4.055198375265486,1.207819842872538,31.43598382933166,0.4140127388535032,32.93351118594434,31.82303500553885
1831,519317,"Stanton, Giancarlo",1831,100,0.233,0.242,0.281,0.475,0.33,0.352,0.249,97,417,94.6,14.8,2276,88.9,89.12,295,857,974,0.19999999999998863,6.51,109,152,125,147,307,329,293,"-9.492","9.492","79.6","8.5",457,276,50,20,0,27,143,31.3,36,7.9,2.33373,0.61549,0.2644,-0.05265,"94.9",170,55.072463768115945,20.652173913043477,12.472647702407002,5.81,-0.81,0.1,2.38,0.295,57,"0.518405243",0.312,0.509,"-0.518405243",-0.016,-0.017000000000000015,-0.034,-0.022,34.4,"39.6",8.008001897040335,-1.1225678058930668,26.00162636986505,0.5772669220945083,42.11096172447442,26.24708425494206
1638,669224,"Wells, Austin",1638,100,0.229,0.167,0.261,0.395,0.315,0.339,0.242,81,354,87.5,16.2,2223,88.7,88.98,220,807,831,0.29999999999999716,6.49,113,145,116,151,289,325,296,"0.544","-0.544","70.7","7.3",414,275,49,18,1,13,87,21,47,11.4,2.39681,0.55246,0.37228,-0.28379,"91.4",167,38.90909090909091,9.090909090909092,6.038647342995169,5.73,-1.17,-0.23,2.28,0.322,25,"-0.033211233",0.339,0.429,"0.033211233",-0.013,-0.017000000000000015,-0.034,-0.024,27.3,"37.4",9.9860615004668,-1.373442218483854,34.265989186594425,0.4553805774278215,35.60518176435383,28.190046279413107
1432,519203,"Rizzo, Anthony",1432,100,0.228,0.107,0.259,0.335,0.285,0.297,0.24,77,337,86.7,14.3,2233,88.9,89.02,136,703,729,0.09999999999999432,6.46,116,146,121,152,291,323,296,"7.488","-7.488","67.0","6.7",375,274,57,12,0,8,65,17.3,27,7.2,2.38122,0.55838,0.33606,-0.19981,"91.3",147,33.21167883211679,4.014598540145985,2.933333333333333,5.79,-0.85,-0.31,2.36,0.301,11,"-0.522905028",0.314,0.34,"0.522905028",-0.012,-0.013000000000000012,-0.005,-0.012,19.3,"39.4",8.44880514027334,-2.615495523665836,32.80920148373249,0.5025210084033613,32.87253401034528,32.05062446658503
1267,665828,"Cabrera, Oswaldo",1267,100,0.249,0.118,0.286,0.367,0.292,0.287,0.25,74,297,87.2,12,2225,88.5,88.66,114,606,661,0.20000000000000284,6.43,112,146,109,149,290,321,292,"4.035","-4.035","66.5","6.9",324,241,55,11,0,8,61,18.8,21,6.5,2.43361,0.53501,0.35421,-0.33838,"90.8",149,34.85477178423236,3.7344398340248963,2.7777777777777777,5.69,-0.9,-0.18,2.28,0.298,9,"-0.318468824",0.303,0.336,"0.318468824",-0.001,-0.0050000000000000044,0.031,0.005,18.8,"36.5",5.052079995569968,-2.7527023783013176,31.21185353769723,0.4100185528756957,34.402647771116555,27.827060205739404
896,624431,"Trevino, Jose",896,100,0.215,0.139,0.228,0.354,0.284,0.267,0.203,45,209,87.8,9.8,2273,89,89.18,68,363,533,0.20000000000000284,6.47,106,150,119,146,299,319,284,"2.375","-2.375","67.5","6.9",234,171,32,5,0,8,41,17.5,20,8.5,2.29096,0.6417,0.33702,-0.18147,"91.4",145,35.08771929824561,5.263157894736842,3.8461538461538463,5.74,0.03,0.11,2.28,0.288,9,"-0.265066964",0.279,0.312,"0.265066964",0.012,0.008999999999999952,0.042,0.017,18.7,"37.8",7.7828707309946,-0.0800729114398811,21.604066388143135,0.6899696048632219,39.46159039585148,28.28666174225893
